carat,depth,table,x,y,z,price,color_num,cut_num
0.53,63.4,54.0,5.09,5.13,3.24,7.057,7,3
0.41,63.0,56.0,4.8,4.75,3.01,6.824,6,5
0.32,61.6,56.0,4.37,4.39,2.7,6.107,5,5
0.31,61.2,56.0,4.34,4.37,2.66,6.39,4,5
1.35,60.5,56.0,7.19,7.12,4.33,8.741,3,4
0.9,61.8,57.0,6.19,6.21,3.83,8.281,2,5
1.01,60.8,59.0,6.49,6.53,3.96,8.491,2,3
1.31,59.1,59.0,7.2,7.15,4.24,8.656,5,4
1.02,63.3,58.0,6.39,6.35,4.03,8.63,6,3
0.81,61.9,60.0,5.87,5.95,3.66,8.201,1,3
1.01,63.6,59.0,6.36,6.32,4.03,8.716000000000001,2,2
0.7,64.7,58.0,5.59,5.54,3.6,7.626,4,1
0.7,63.2,60.0,5.62,5.55,3.53,7.422000000000001,5,3
0.79,62.6,61.0,5.9,5.86,3.68,7.9110000000000005,4,4
0.58,62.0,57.0,5.33,5.34,3.31,7.638999999999999,7,3
2.08,62.3,56.0,8.16,8.22,5.1,9.625,5,5
0.36,59.0,59.0,4.66,4.69,2.76,7.02,6,3
0.71,61.4,57.0,5.81,5.78,3.56,8.142000000000001,1,5
0.41,63.2,59.0,4.7,4.67,2.96,6.681,3,3
1.5,63.3,55.0,7.3,7.26,4.61,9.163,5,3
0.79,62.0,55.0,5.93,5.95,3.68,8.033,2,5
0.29,60.6,59.0,4.31,4.37,2.63,6.207000000000001,2,5
0.31,62.6,61.0,4.28,4.31,2.69,6.704,7,3
0.5,62.0,56.0,5.08,5.12,3.16,7.061,3,5
0.9,62.3,53.0,6.16,6.12,3.82,7.57,7,4
1.2,63.7,57.0,6.71,6.64,4.25,8.685,1,2
0.71,58.7,61.0,5.83,5.86,3.43,7.82,1,3
0.3,62.2,55.0,4.28,4.31,2.67,6.405,7,5
1.03,61.3,61.0,6.49,6.46,3.97,8.469,6,4
0.31,61.6,56.0,4.37,4.4,2.7,6.732,7,5
0.4,62.9,57.0,4.75,4.7,2.97,6.64,3,5
0.33,61.5,59.4,4.45,4.49,2.75,6.435,7,3
1.02,60.3,59.0,6.5,6.53,3.93,8.353,2,3
0.41,62.7,54.0,4.79,4.78,3.0,7.017,4,5
1.53,62.4,58.0,7.31,7.37,4.58,8.946,5,5
0.7,63.3,56.0,5.64,5.7,3.59,8.105,2,2
0.34,61.2,57.0,4.48,4.51,2.75,6.457000000000001,1,5
0.58,63.3,58.0,5.26,5.29,3.34,7.018,7,3
1.23,61.5,54.0,6.92,6.89,4.25,9.004,7,5
0.9,61.4,58.0,6.13,6.19,3.78,8.193999999999999,2,4
0.5,62.1,61.0,5.1,5.07,3.16,7.499,7,4
2.01,62.3,58.0,8.03,8.01,5.0,9.677999999999999,2,5
0.4,60.4,59.0,4.76,4.77,2.88,7.141,6,4
1.52,62.8,55.0,7.37,7.28,4.6,9.55,2,5
0.54,61.9,57.0,5.2,5.23,3.23,7.47,1,5
0.41,56.5,63.0,4.98,4.94,2.8,6.631,6,2
0.72,62.0,54.9,5.75,5.78,3.57,8.317,1,5
0.41,62.1,57.0,4.79,4.75,2.96,7.212000000000001,2,5
1.38,61.9,55.0,7.16,7.12,4.42,9.324,2,5
0.9,59.0,62.0,6.23,6.27,3.69,8.182,4,2
0.7,63.2,57.0,5.62,5.67,3.57,8.443,1,3
0.9,61.9,57.0,6.19,6.13,3.81,7.976,5,5
1.57,62.0,60.0,7.4,7.44,4.6,9.23,4,3
1.0,61.3,58.0,6.37,6.42,3.92,9.158,6,3
0.3,63.1,56.0,4.28,4.25,2.69,6.921,7,3
0.3,61.9,59.0,4.31,4.24,2.65,6.267,5,4
0.5,61.6,56.0,5.11,5.08,3.14,7.678,2,5
0.81,62.2,57.0,5.97,6.02,3.73,8.068,7,5
0.3,63.4,57.0,4.23,4.25,2.69,5.976,5,2
1.01,59.0,61.0,6.62,6.56,3.89,8.69,7,4
1.67,61.2,57.0,7.69,7.66,4.7,9.287,5,5
0.31,62.5,60.0,4.36,4.31,2.71,6.443,4,4
0.9,65.6,56.0,6.1,6.03,3.98,8.054,7,1
1.4,62.4,57.0,7.17,7.12,4.46,8.724,1,4
1.2,59.9,59.0,6.96,6.87,4.14,8.74,5,4
0.54,60.7,56.0,5.3,5.25,3.2,7.2,1,5
0.9,65.9,60.0,5.98,6.01,3.95,8.15,2,2
0.82,61.9,56.0,5.98,6.03,3.72,8.44,6,5
0.24,58.8,58.0,4.05,4.08,2.39,6.256,6,3
1.01,62.2,57.0,6.43,6.37,3.98,8.484,4,5
0.38,61.1,57.0,4.71,4.69,2.87,7.056,2,5
0.36,62.7,57.0,4.59,4.54,2.86,6.746,6,5
0.3,62.6,56.0,4.26,4.27,2.67,6.7589999999999995,1,3
0.36,61.8,55.0,4.58,4.54,2.82,6.91,6,5
0.35,61.7,57.0,4.56,4.52,2.8,6.446000000000001,5,5
0.4,61.5,55.0,4.78,4.82,2.95,7.211,6,5
0.9,62.7,58.0,6.11,6.13,3.84,8.237,2,2
0.58,60.6,57.0,5.38,5.41,3.27,8.073,6,5
1.0,62.6,60.0,6.29,6.37,3.96,8.757,2,4
0.32,61.0,61.0,4.38,4.41,2.68,6.167999999999999,7,3
0.42,63.0,55.0,4.79,4.76,3.01,6.877000000000001,6,5
0.32,60.6,60.0,4.4,4.44,2.68,6.33,4,4
0.3,62.6,58.0,4.25,4.28,2.67,6.489,1,3
0.4,59.1,61.0,4.81,4.84,2.85,6.603,4,3
1.59,60.5,59.0,7.59,7.55,4.58,9.113999999999999,1,4
1.1,59.5,57.0,6.81,6.74,4.03,8.295,4,4
0.96,60.3,59.0,6.4,6.36,3.85,8.092,3,4
0.41,60.2,60.0,4.78,4.82,2.89,6.627000000000001,1,4
0.71,59.5,58.0,5.82,5.87,3.48,7.662999999999999,2,3
0.4,61.2,61.0,4.71,4.74,2.89,6.377000000000001,1,2
0.46,61.6,55.0,5.0,5.03,3.09,7.496,7,5
0.3,60.6,56.0,4.35,4.37,2.64,6.265,1,3
0.39,63.1,56.0,4.63,4.69,2.94,6.721,1,2
1.07,60.9,54.0,6.66,6.73,4.08,9.743,6,5
0.23,62.3,53.0,3.96,3.99,2.48,6.2379999999999995,4,5
0.23,61.2,58.0,3.93,3.98,2.42,6.273,1,3
1.57,62.6,58.0,7.38,7.41,4.63,9.015,5,5
0.33,61.9,55.0,4.44,4.42,2.74,6.928999999999999,2,5
1.55,63.3,56.0,7.38,7.32,4.65,9.264,4,3
0.51,61.5,57.0,5.11,5.14,3.15,7.4879999999999995,6,5
0.57,61.5,57.0,5.36,5.31,3.28,7.766,2,5
0.3,64.0,57.0,4.27,4.23,2.72,6.778,7,2
0.8,62.5,55.0,5.89,5.92,3.69,7.97,7,5
1.5,62.6,57.0,7.26,7.3,4.56,9.122,4,3
0.38,61.9,53.5,4.66,4.69,2.9,6.891,6,5
0.33,61.8,58.0,4.43,4.4,2.73,7.096,6,4
1.12,62.0,55.0,6.67,6.69,4.14,9.079,7,5
0.42,61.9,56.0,4.84,4.82,2.99,6.947,6,5
1.23,62.5,60.0,6.82,6.75,4.24,8.57,5,4
0.32,62.4,56.0,4.39,4.43,2.75,6.7620000000000005,1,5
0.71,62.5,56.0,5.7,5.73,3.57,7.819,6,5
0.42,61.7,59.0,4.78,4.82,2.96,7.041,2,4
1.28,61.7,57.0,6.93,6.97,4.29,9.343,1,5
0.3,64.5,55.0,4.31,4.19,2.74,6.495,2,1
0.33,62.8,58.0,4.43,4.39,2.77,6.349,5,4
2.03,62.5,56.0,8.1,8.05,5.05,9.711,7,5
0.9,63.6,61.0,6.03,6.07,3.85,7.707999999999999,7,2
0.5,59.8,56.0,5.23,5.18,3.11,6.8020000000000005,5,4
1.02,61.2,56.0,6.53,6.48,3.98,8.578,4,5
1.34,62.3,59.0,6.99,7.03,4.37,8.886000000000001,6,3
0.88,62.2,56.0,6.11,6.17,3.82,8.193999999999999,2,5
0.31,62.5,53.0,4.34,4.37,2.72,6.279,6,5
0.44,61.5,56.0,4.92,4.9,3.02,7.0520000000000005,1,5
0.73,60.3,58.0,5.83,5.87,3.53,7.771,5,4
0.28,60.6,58.0,4.23,4.25,2.57,6.465,6,3
1.54,62.3,57.0,7.35,7.38,4.59,9.536,7,5
0.91,63.4,57.0,6.1,6.18,3.89,8.126,4,3
0.7,60.8,61.0,5.69,5.64,3.45,7.593999999999999,6,4
0.31,61.4,61.0,4.39,4.34,2.68,6.26,5,4
0.9,65.2,58.0,6.0,6.06,3.93,8.208,7,2
0.55,62.3,54.0,5.29,5.27,3.29,7.856,2,5
0.3,62.0,57.0,4.28,4.3,2.66,6.019,3,5
0.9,58.9,59.0,6.31,6.26,3.7,8.244,2,4
1.5,61.3,57.0,7.38,7.4,4.53,9.28,4,5
1.52,63.0,60.0,7.3,7.25,4.58,9.394,4,4
0.7,65.7,55.0,5.45,5.51,3.6,7.7989999999999995,1,1
0.4,57.3,60.0,4.84,4.89,2.79,6.974,1,1
0.39,61.9,57.0,4.71,4.69,2.91,7.065,6,5
0.28,61.1,56.0,4.25,4.27,2.6,6.257999999999999,7,3
0.73,60.4,56.0,5.81,5.89,3.54,7.797000000000001,1,5
1.28,63.8,55.0,6.84,6.79,4.35,8.415,4,2
1.01,61.0,56.0,6.47,6.51,3.96,8.815,7,5
0.52,62.3,58.0,5.14,5.17,3.21,7.396,7,3
2.0,62.8,56.0,8.04,7.95,5.02,9.633,5,5
0.71,59.7,59.0,5.82,5.8,3.47,7.96,6,4
2.23,61.3,60.0,8.4,8.35,5.13,9.542,3,4
0.71,60.4,63.0,5.73,5.8,3.48,7.563,5,3
0.31,62.0,54.0,4.37,4.4,2.72,6.3229999999999995,5,5
0.65,60.7,58.0,5.65,5.62,3.42,7.106,5,4
0.71,60.9,57.0,5.74,5.76,3.5,8.166,6,5
0.41,60.7,58.0,4.83,4.79,2.92,7.05,1,4
1.71,61.9,61.0,7.61,7.67,4.73,9.78,2,3
0.91,63.1,61.0,6.13,6.07,3.85,8.42,7,3
1.01,60.2,58.0,6.56,6.52,3.94,8.754,1,4
0.51,61.9,55.0,5.14,5.17,3.19,7.563,7,5
0.3,62.5,61.0,4.29,4.26,2.67,6.209,7,4
1.6,61.6,60.0,7.55,7.49,4.63,9.543,7,4
0.38,60.6,59.0,4.62,4.65,2.81,6.954,1,4
0.43,62.3,60.0,4.78,4.85,3.0,6.962000000000001,7,3
0.32,61.4,57.0,4.41,4.45,2.72,6.59,2,5
0.71,61.7,56.0,5.73,5.71,3.53,7.481,5,4
1.01,61.9,58.0,6.42,6.5,4.0,8.725,7,3
0.59,61.3,56.0,5.41,5.43,3.32,7.545,7,5
2.01,61.5,60.0,8.12,8.01,4.96,9.711,5,4
2.0,65.0,57.0,8.01,7.96,5.19,9.171,5,1
1.11,61.6,61.0,6.61,6.66,4.09,8.318999999999999,1,3
1.01,62.6,60.0,6.35,6.37,3.98,8.392999999999999,2,4
0.95,57.7,58.0,6.47,6.52,3.75,8.57,1,2
2.13,62.4,56.0,8.26,8.19,5.13,9.454,4,4
0.39,60.8,57.0,4.72,4.75,2.88,7.0089999999999995,2,3
1.0,62.6,58.0,6.31,6.37,3.97,8.314,2,3
1.7,61.6,57.0,7.63,7.57,4.68,9.12,1,5
0.31,61.1,55.0,4.37,4.4,2.68,6.652,6,5
0.33,61.1,56.0,4.46,4.44,2.72,6.928999999999999,6,5
0.53,60.4,58.0,5.26,5.23,3.17,7.579,6,4
1.11,61.6,61.0,6.66,6.61,4.09,8.337,1,4
1.01,62.9,60.0,6.43,6.33,4.01,8.918,1,4
0.3,61.7,57.0,4.32,4.3,2.66,6.654,7,5
1.0,59.4,60.0,6.56,6.48,3.87,8.439,6,4
0.3,60.6,59.0,4.38,4.34,2.64,6.159,3,4
0.23,58.9,60.0,4.03,3.95,2.35,6.534,6,4
1.51,61.6,58.0,7.35,7.4,4.54,9.289,5,5
0.61,62.5,54.0,5.43,5.45,3.4,7.372000000000001,4,5
1.01,61.5,56.0,6.41,6.47,3.96,8.658999999999999,7,3
0.4,62.5,59.0,4.72,4.66,2.93,6.957000000000001,6,4
0.35,61.7,59.0,4.51,4.53,2.79,6.42,4,4
0.33,61.1,59.0,4.42,4.45,2.71,6.1979999999999995,7,3
0.92,61.7,62.0,6.2,6.12,3.8,8.349,4,3
0.31,62.4,56.0,4.31,4.35,2.7,6.347,6,5
0.3,62.6,62.0,4.25,4.21,2.65,6.669,1,4
1.0,63.3,59.0,6.29,6.34,4.0,8.697000000000001,1,2
0.3,62.5,59.0,4.23,4.28,2.66,6.565,6,3
0.9,60.4,58.0,6.25,6.3,3.79,8.145,7,4
0.5,61.3,58.0,5.03,5.09,3.1,7.372999999999999,7,3
0.7,62.9,56.0,5.7,5.65,3.57,7.773,7,5
1.71,61.9,57.0,7.67,7.61,4.73,9.171,4,5
0.34,61.4,54.0,4.53,4.5,2.77,6.64,1,5
0.32,61.1,56.0,4.44,4.47,2.72,6.561,6,5
0.32,60.0,62.0,4.44,4.49,2.68,6.682,2,3
0.9,62.6,58.0,6.14,6.22,3.87,8.291,4,3
0.57,61.9,57.0,5.3,5.33,3.29,7.251,5,5
1.0,62.1,59.0,6.36,6.39,3.96,8.529,2,4
0.5,62.1,58.0,5.1,5.01,3.14,7.4110000000000005,2,4
1.19,62.8,57.0,6.71,6.77,4.23,8.72,7,3
